feature,dataset,role,type,model_usage,notes,source_file,source_sheet,processed_dataset_name,processed_status
target_beni_expanded_score,Expanded_2022,target,numeric index,Primary expanded-target regression,Constructed from UBEC + NBS indicators; use cautiously due engineered target,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
target_beni_core_score,Core_StateYear/Expanded_2022,target or benchmark,numeric index,Core target or comparator,Constructed from UBEC infrastructure indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
pupil_classroom_ratio,Both,predictor,numeric ratio,Feature Set A/B,Classroom pressure; higher implies greater need,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
bad_classroom_share,Both,predictor,numeric proportion,Feature Set A/B,Classroom-condition deficit,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
pupil_teacher_ratio,Both,predictor,numeric ratio,Feature Set A/B,Teaching-capacity pressure,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
unqualified_teacher_share,Both,predictor,numeric proportion,Feature Set A/B,Teacher-quality constraint,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
enrolment_per_school,Both,predictor,numeric ratio,Feature Set A/B,School-stock pressure,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
nbs_socioeconomic_need_proxy,Expanded_2022,predictor,numeric index,Feature Set B,Socioeconomic disadvantage,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
school_age_basic_population,Expanded_2022,predictor/benchmark,numeric count,Population-sensitive model,Demographic pressure proxy,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
dmo_domestic_debt_stock_naira,Expanded_2022,context predictor only,numeric currency,Sensitivity only,Fiscal-pressure context; not core need indicator,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
matching_grant_2018_2022_naira,Expanded_2022,benchmark/context,numeric currency,Sensitivity only,Historical funding benchmark,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
matching_grant_million_naira,Core_StateYear,benchmark/context,numeric currency,Sensitivity only,Annual historical grant support where available,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Feature_Dictionary,final_dataset_dictionary,final_processed_dictionary
